[23.01.2025 4:45:25] Протоколирование начато.
[23.01.2025 4:45:25] Создание новой базы данных
[23.01.2025 4:45:26] Загрузка данных из файла Excel.
[23.01.2025 4:45:26] Загружено животных: id 1, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 2, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 3, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 4, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 5, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 6, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 7, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 8, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 9, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 10, species Кошка, breed Британская
[23.01.2025 4:45:26] Загружено животных: id 11, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 12, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 13, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 14, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 15, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 16, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 17, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 18, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 19, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 20, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 21, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 22, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 23, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 24, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 25, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 26, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 27, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 28, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 29, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 30, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 31, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 32, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 33, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 34, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 35, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 36, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 37, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 38, species Рыбка, breed Неон
